subject_ID,age,pi_T,pi_D,Pi_T2,Pi_TD,Pi_DT,Pi_D2,Pi_DD,Sigma_x,Sigma_y
0,5.35249828884,0.89817095,0.016971508,0.96115667,0.004658103,0.004658103,0.96115667,0.004658103,108.78445,92.282616
1,3.99726214921,0.99986124,2.3126602e-05,0.9640614,0.0056518195,0.0056518195,0.9640614,0.0056518195,101.76505,89.16455
2,4.1697467488,0.58539116,0.069101475,0.9672074,0.0052685975,0.0052685975,0.9672074,0.0052685975,160.07187,90.58945
3,4.4681724846,0.36213148,0.10631142,0.9617927,0.0047597527,0.0047597527,0.9617927,0.0047597527,127.02005,97.55719
4,4.13415468857,0.78624654,0.035625577,0.96105295,0.005091953,0.005091953,0.96105295,0.005091953,106.230034,95.47
5,4.16153319644,0.99986315,2.280871e-05,0.97249216,0.004608667,0.004608667,0.97249216,0.004608667,136.06528,105.8816
6,4.13689253936,0.9998486,2.5232634e-05,0.96803755,0.0051237703,0.0051237703,0.96803755,0.0051237703,153.41606,106.96716
7,5.51403148528,0.7520433,0.041326117,0.94481134,0.005242658,0.005242658,0.94481134,0.005242658,80.330605,74.77745
9,5.86721423682,0.88055897,0.01990684,0.96123433,0.0047490955,0.0047490955,0.96123433,0.0047490955,82.37946,111.34588
10,5.90554414784,0.8775512,0.020408133,0.96871066,0.0041831257,0.0041831257,0.96871066,0.0041831257,170.0774,143.06407
11,4.56673511294,0.8404604,0.02658993,0.95368993,0.0037202835,0.0037202835,0.95368993,0.0037202835,161.17203,166.68867
13,3.75906913073,0.999825,2.916654e-05,0.9692737,0.0045464276,0.0045464276,0.9692737,0.0045464276,159.09485,114.36882
14,4.02464065708,0.6981192,0.05031346,0.97033453,0.004462123,0.004462123,0.97033453,0.004462123,111.67368,139.90083
15,5.73032169747,0.43714094,0.09380984,0.9563854,0.0063208817,0.0063208817,0.9563854,0.0063208817,110.106575,108.673386
16,4.17248459959,0.5407404,0.07654327,0.9641252,0.005469084,0.005469084,0.9641252,0.005469084,93.19722,95.49779
17,5.08145106092,0.8999156,0.016680738,0.95053023,0.0018663525,0.0018663525,0.95053023,0.0018663525,74.369865,76.11982
18,5.04038329911,0.58954823,0.06840863,0.9667934,0.005190897,0.005190897,0.9667934,0.005190897,169.03252,151.85396
19,3.96167008898,0.8765998,0.020566702,0.9668193,0.0050167562,0.0050167562,0.9668193,0.0050167562,126.156,105.27906
20,4.32580424367,0.55949986,0.07341669,0.9708108,0.004768014,0.004768014,0.9708108,0.004768014,176.00279,162.60603
21,3.95893223819,0.8208949,0.02985085,0.96595514,0.0047975304,0.0047975304,0.96595514,0.0047975304,109.98608,80.0398
22,4.34223134839,0.9998602,2.3295483e-05,0.9567149,0.0038217783,0.0038217783,0.9567149,0.0038217783,88.90801,78.845894
24,3.8302532512,0.8881781,0.018636981,0.9636777,0.0057359934,0.0057359934,0.9636777,0.0057359934,147.75963,77.187836
25,5.91923340178,0.9996464,5.8929127e-05,0.958315,0.004104209,0.004104209,0.958315,0.004104209,88.06673,94.85245
26,5.40999315537,0.6450848,0.059152532,0.954517,0.0058790445,0.0058790445,0.954517,0.0058790445,83.97201,92.40352
27,4.76112251882,0.4115472,0.09807547,0.9592664,0.0042218445,0.0042218445,0.9592664,0.0042218445,161.15991,120.00474
28,5.25119780972,0.75342786,0.041095357,0.9503602,0.0030885458,0.0030885458,0.9503602,0.0030885458,65.56763,76.74434
29,5.15537303217,0.6259477,0.062342048,0.9623209,0.0046416996,0.0046416996,0.9623209,0.0046416996,95.74547,89.38119
30,5.07049965777,0.99983,2.8332075e-05,0.9521615,0.004666698,0.004666698,0.9521615,0.004666698,133.54846,130.23622
31,5.74127310062,0.31567234,0.11405461,0.9694599,0.003964412,0.003964412,0.9694599,0.003964412,157.62772,132.20334
32,4.07665982204,0.6037046,0.06604924,0.9711777,0.0046948073,0.0046948073,0.9711777,0.0046948073,135.40652,137.37875
33,4.16153319644,0.99982893,2.8510889e-05,0.9646013,0.0050531863,0.0050531863,0.9646013,0.0050531863,161.814,114.93657
34,4.80219028063,0.31350648,0.114415586,0.95088553,0.0074583055,0.0074583055,0.95088553,0.0074583055,120.8276,139.25246
35,4.10403832991,0.5853382,0.069110304,0.9696079,0.0042780517,0.0042780517,0.9696079,0.0042780517,124.602394,125.3262
36,4.02464065708,0.8995625,0.016739586,0.968194,0.00370152,0.00370152,0.968194,0.00370152,91.63037,85.76808
37,4.0848733744,0.8878541,0.018690983,0.9635039,0.005176711,0.005176711,0.9635039,0.005176711,138.0934,124.20395
38,5.93839835729,0.7506211,0.041563153,0.9705745,0.0047265054,0.0047265054,0.9705745,0.0047265054,168.42044,172.34677
41,5.659137577,0.54061,0.076565,0.94462043,0.004410529,0.004410529,0.94462043,0.004410529,82.977196,113.32258
42,4.75017111567,0.74143887,0.04309352,0.9568002,0.004501152,0.004501152,0.9568002,0.004501152,74.67097,77.986046
45,3.75085557837,0.92273366,0.012877722,0.95691717,0.0055109737,0.0055109737,0.95691717,0.0055109737,93.60156,93.90117
46,4.01916495551,0.47761038,0.087064944,0.97195613,0.004672921,0.004672921,0.97195613,0.004672921,172.36948,146.48161
47,4.08213552361,0.7531354,0.041144103,0.9663447,0.0055119516,0.0055119516,0.9663447,0.0055119516,127.730644,121.40606
48,4.15058179329,0.79676557,0.033872407,0.96162117,0.0049000503,0.0049000503,0.96162117,0.0049000503,176.49855,101.115974
49,3.84120465435,0.37221235,0.104631275,0.96003777,0.0062484024,0.0062484024,0.96003777,0.0062484024,95.67208,121.84167
