subject_ID,condition,age,loss,pi_D,pi_O,pi_I,Pi_DD_stay,Pi_DD_switch,Pi_DO,Pi_DI,Pi_OD,Pi_OO,Pi_OI,Pi_ID,Pi_IO,Pi_II,Sigma_x,Sigma_y
0,shrinky,5.38535249829,86803.7,0.035716575,0.6569679,0.09301609,0.95041007,0.005226899,0.01577264,0.00245592,0.0036596358,0.9922164,0.004123956,0.004450768,0.0139327645,0.9816165,85.35457,92.54056
1,shrinky,4.00273785079,55136.34,0.06597979,0.47675756,0.061383843,0.96091497,0.004559893,0.0054017603,0.0063239336,0.00274688,0.9895532,0.007699907,0.003901571,0.006133914,0.9899645,100.34143,122.57681
2,shrinky,4.16153319644,83338.81,0.052213825,0.5337212,0.10078204,0.95926344,0.005239447,0.0046401024,0.0046598017,0.0033176541,0.9932592,0.0034231246,0.0028264523,3.614672e-05,0.9971374,92.63978,94.824585
3,shrinky,4.52840520192,83149.27,0.04157308,0.7062104,0.0027780533,0.959441,0.0040466487,0.013251424,0.0030276775,0.0034860969,0.9946133,0.0019006133,0.0046248436,0.0018362701,0.99353886,81.59636,105.54053
4,shrinky,4.19438740589,87182.85,0.05236272,0.63089037,0.0025705695,0.95713145,0.004598652,0.011100829,0.004175812,0.0030246973,0.9948288,0.0021464825,0.007035136,0.0020054579,0.9909594,85.640625,103.00514
6,shrinky,4.11772758385,43879.945,0.026166214,0.540687,0.2761495,0.95982176,0.004857469,0.00677824,0.0042552054,0.008623481,0.9860858,0.0052907467,0.004484117,2.7953125e-05,0.9954879,87.97987,124.64017
7,shrinky,5.51950718686,83806.86,0.00037565402,0.8618357,0.1355347,0.95455015,0.003759934,0.019973487,0.002916783,0.0021271706,0.99407285,0.003799975,0.004845947,0.0074328184,0.9877212,75.74078,80.58448
8,shrinky,4.34770704997,56638.76,0.040975455,0.14054485,0.57262695,0.94445765,0.0063980836,0.0016722083,0.015481651,0.00012624264,0.9616725,0.038201272,0.0024471283,0.0013310313,0.99622184,131.12645,76.929695
9,shrinky,5.81793292266,77108.52,0.073947765,0.48019797,0.0021677017,0.9464164,0.0044013998,0.023409098,0.0037661493,0.0026919842,0.99492383,0.002384156,0.004175514,0.030252397,0.9655721,78.691345,91.12272
10,shrinky,5.95482546201,91822.95,0.057572912,0.59428614,0.0027034283,0.95482165,0.004310737,0.015619695,0.003694266,0.0021300316,0.9961181,0.0017518401,0.0019082725,0.002144307,0.9959474,73.62284,84.89904
