subject_ID,condition,age,loss,pi_D,pi_O,pi_I,Pi_DD_stay,Pi_DD_switch,Pi_DO,Pi_DI,Pi_OD,Pi_OO,Pi_OI,Pi_ID,Pi_IO,Pi_II,Sigma_x,Sigma_y
0,noshrinky,5.35249828884,94301.69,0.1190783,3.430829e-10,0.16645187,0.96752924,0.0051493803,2.0611537e-09,0.0015744269,2.0611537e-09,1.0,2.0611537e-09,0.008357376,2.0611537e-09,0.9916426,86.02944,92.092285
1,noshrinky,3.99726214921,100289.91,0.14231433,7.831718e-12,0.003799677,0.967001,0.005267786,2.0611537e-09,0.0013922155,2.0611537e-09,1.0,2.0611537e-09,0.0056052506,2.0611537e-09,0.9943947,80.811516,94.43704
2,noshrinky,4.1697467488,50181.71,0.083029866,8.6319246e-10,0.41879094,0.9627511,0.005054988,2.0611537e-09,0.006918937,2.0611537e-09,1.0,2.0611537e-09,0.0045103133,2.0611537e-09,0.99548966,90.67203,89.39709
3,noshrinky,4.4681724846,93319.07,0.14229162,8.159493e-12,0.003958702,0.9710381,0.0045583877,2.0611537e-09,0.0016115606,2.0611537e-09,1.0,2.0611537e-09,0.003609687,2.0611537e-09,0.9963903,76.605125,89.07761
4,noshrinky,4.13415468857,94155.89,0.14231192,7.866608e-12,0.0038166046,0.9647912,0.0056387866,2.0611537e-09,0.0013760626,2.0611537e-09,1.0,2.0611537e-09,0.003067255,2.0611537e-09,0.99693274,82.19217,84.419914
6,noshrinky,4.13689253936,71613.055,0.14230077,8.027425e-12,0.003894627,0.963952,0.0054563275,2.0611537e-09,0.003309995,2.0611537e-09,1.0,2.0611537e-09,0.003499627,2.0611537e-09,0.9965004,94.00972,88.06176
7,noshrinky,5.51403148528,83958.04,0.14250259,5.1155317e-12,0.0024818778,0.97191626,0.004419882,2.0611537e-09,0.0015644431,2.0611537e-09,1.0,2.0611537e-09,0.012243003,2.0611537e-09,0.98775697,78.218956,74.98634
9,noshrinky,5.86721423682,87475.63,0.14232667,7.653702e-12,0.0037133098,0.96817803,0.0048686718,2.0611537e-09,0.0026099086,2.0611537e-09,1.0,2.0611537e-09,0.009019583,2.0611537e-09,0.9909804,74.03311,102.43249
10,noshrinky,5.90554414784,93707.6,0.1411843,2.4135962e-11,0.0117099285,0.9676371,0.004871369,2.0611537e-09,0.0031346679,2.0611537e-09,1.0,2.0611537e-09,0.0022220612,2.0611537e-09,0.99777794,78.30288,90.94095
11,noshrinky,4.56673511294,105604.01,0.087572515,7.976508e-10,0.3869924,0.9564941,0.0057231276,2.0611537e-09,0.009167105,2.0611537e-09,1.0,2.0611537e-09,0.010106921,2.0611537e-09,0.9898931,122.84687,126.29509
13,noshrinky,3.75906913073,85829.414,0.14234106,7.4460785e-12,0.003612578,0.9649121,0.0052283816,2.0611537e-09,0.0037175715,2.0611537e-09,1.0,2.0611537e-09,0.0037365258,2.0611537e-09,0.99626344,96.36334,101.84492
14,noshrinky,4.02464065708,96921.77,0.12857072,2.0612549e-10,0.10000491,0.96665,0.0051181074,2.0611537e-09,0.0026412904,2.0611537e-09,1.0,2.0611537e-09,0.0039252937,2.0611537e-09,0.9960747,79.794716,95.24055
15,noshrinky,5.73032169747,80437.55,0.08390976,8.5049734e-10,0.4126317,0.9608336,0.006134918,2.0611537e-09,0.0023568869,2.0611537e-09,1.0,2.0611537e-09,0.005287677,2.0611537e-09,0.9947123,92.9931,93.62325
16,noshrinky,4.17248459959,116874.46,0.13313974,1.4020334e-10,0.068021774,0.9670215,0.005327236,2.0611537e-09,0.0010150671,2.0611537e-09,1.0,2.0611537e-09,0.004560679,2.0611537e-09,0.9954393,83.93642,86.21723
17,noshrinky,5.08145106092,101225.234,0.14256588,4.202478e-12,0.002038896,0.98242164,0.002879254,2.0611537e-09,0.0003028512,2.0611537e-09,1.0,2.0611537e-09,0.025492221,2.0611537e-09,0.97450775,76.29955,77.85239
18,noshrinky,5.04038329911,105258.0,0.14226644,8.522774e-12,0.004134953,0.9607809,0.0060066953,2.0611537e-09,0.0031788647,2.0611537e-09,1.0,2.0611537e-09,0.0025109053,2.0611537e-09,0.9974891,80.06275,93.238655
19,noshrinky,3.96167008898,91188.164,0.1422737,8.417979e-12,0.0040841103,0.9692161,0.0047955457,2.0611537e-09,0.0020106137,2.0611537e-09,1.0,2.0611537e-09,0.0043204725,2.0611537e-09,0.9956795,79.49588,79.634735
20,noshrinky,4.32580424367,44440.746,0.121131435,3.1346012e-10,0.15207994,0.9568831,0.0063242894,2.0611537e-09,0.00517118,2.0611537e-09,1.0,2.0611537e-09,0.0017099679,2.0611537e-09,0.99829,84.73099,85.75725
21,noshrinky,3.95893223819,105477.21,0.14231397,7.836878e-12,0.0038021803,0.96814764,0.005064506,2.0611537e-09,0.0014652908,2.0611537e-09,1.0,2.0611537e-09,0.005940169,2.0611537e-09,0.9940598,86.110306,81.60596
22,noshrinky,4.34223134839,101159.53,0.13106884,1.7008249e-10,0.0825181,0.9737996,0.0042395093,2.0611537e-09,0.0007633269,2.0611537e-09,1.0,2.0611537e-09,0.007679254,2.0611537e-09,0.9923207,77.553604,76.63381
24,noshrinky,3.8302532512,70116.28,0.121167794,3.1293554e-10,0.15182543,0.96682256,0.0048576356,2.0611537e-09,0.0040315688,2.0611537e-09,1.0,2.0611537e-09,0.0053629577,2.0611537e-09,0.994637,113.95216,79.63989
25,noshrinky,5.91923340178,94172.67,0.12810706,2.128154e-10,0.10325062,0.97254795,0.0042451085,2.0611537e-09,0.0019813776,2.0611537e-09,1.0,2.0611537e-09,0.004374057,2.0611537e-09,0.9956259,74.29851,79.487656
26,noshrinky,5.40999315537,99690.9,0.11746388,3.6637596e-10,0.17775285,0.96314526,0.0057231993,2.0611537e-09,0.0025155246,2.0611537e-09,1.0,2.0611537e-09,0.009885818,2.0611537e-09,0.99011415,76.557175,80.6713
27,noshrinky,4.76112251882,80261.03,0.14222382,9.137659e-12,0.0044332743,0.96341944,0.0053416872,2.0611537e-09,0.0045304,2.0611537e-09,1.0,2.0611537e-09,0.003933996,2.0611537e-09,0.996066,78.77705,99.34786
28,noshrinky,5.25119780972,90347.32,0.12504373,2.570131e-10,0.12469381,0.9753159,0.003912572,2.0611537e-09,0.0012086332,2.0611537e-09,1.0,2.0611537e-09,0.009951085,2.0611537e-09,0.9900489,72.317444,76.36735
29,noshrinky,5.15537303217,111522.67,0.14227906,8.340704e-12,0.004046619,0.9681687,0.004958975,2.0611537e-09,0.0020774603,2.0611537e-09,1.0,2.0611537e-09,0.006379664,2.0611537e-09,0.99362034,76.89431,88.582794
30,noshrinky,5.07049965777,72050.016,0.14234419,7.40099e-12,0.003590703,0.96681947,0.004806511,2.0611537e-09,0.004341483,2.0611537e-09,1.0,2.0611537e-09,0.009274125,2.0611537e-09,0.9907259,107.47435,119.7724
31,noshrinky,5.74127310062,83163.05,0.1273112,2.2429811e-10,0.10882163,0.9730902,0.004084464,2.0611537e-09,0.002402991,2.0611537e-09,1.0,2.0611537e-09,0.0036857426,2.0611537e-09,0.9963142,85.8334,87.8561
32,noshrinky,4.07665982204,93920.72,0.14227894,8.342301e-12,0.004047394,0.9636265,0.005379698,2.0611537e-09,0.004095286,2.0611537e-09,1.0,2.0611537e-09,0.0031489432,2.0611537e-09,0.996851,84.88698,98.469315
33,noshrinky,4.16153319644,90928.25,0.14236072,7.162408e-12,0.0034749508,0.9666912,0.0048064236,2.0611537e-09,0.0044702888,2.0611537e-09,1.0,2.0611537e-09,0.0051951706,2.0611537e-09,0.9948048,94.043785,108.51981
34,noshrinky,4.80219028063,70423.12,0.14225905,8.629288e-12,0.0041866302,0.9558436,0.006375449,2.0611537e-09,0.0059036314,2.0611537e-09,1.0,2.0611537e-09,0.015683174,2.0611537e-09,0.9843168,104.91104,123.59464
35,noshrinky,4.10403832991,88751.75,0.11643262,3.8125497e-10,0.18497163,0.967172,0.005122467,2.0611537e-09,0.002093196,2.0611537e-09,1.0,2.0611537e-09,0.0028311014,2.0611537e-09,0.9971689,79.18357,101.85629
36,noshrinky,4.02464065708,98042.41,0.12855458,2.0635843e-10,0.10011792,0.9728629,0.0043244683,2.0611537e-09,0.001190275,2.0611537e-09,1.0,2.0611537e-09,0.007392794,2.0611537e-09,0.9926072,82.046036,82.87754
37,noshrinky,4.0848733744,98414.7,0.1422929,8.14082e-12,0.003949642,0.96487814,0.004875304,2.0611537e-09,0.005870044,2.0611537e-09,1.0,2.0611537e-09,0.009301245,2.0611537e-09,0.99069875,100.568214,113.53907
38,noshrinky,5.93839835729,83758.16,0.09336956,7.140106e-10,0.34641308,0.9690026,0.003899391,2.0611537e-09,0.007600993,2.0611537e-09,1.0,2.0611537e-09,0.0034744143,2.0611537e-09,0.9965256,76.883804,93.509796
41,noshrinky,5.659137577,102546.34,0.12336782,2.8119343e-10,0.13642526,0.9741234,0.0036522264,2.0611537e-09,0.0039632022,2.0611537e-09,1.0,2.0611537e-09,0.010798156,2.0611537e-09,0.98920184,76.767204,98.11828
42,noshrinky,4.75017111567,81817.58,0.12412788,2.702272e-10,0.13110483,0.97667366,0.0036085804,2.0611537e-09,0.0016748309,2.0611537e-09,1.0,2.0611537e-09,0.0059542656,2.0611537e-09,0.99404573,75.53788,75.192215
45,noshrinky,3.75085557837,100934.7,0.1423429,7.419665e-12,0.003599763,0.9706275,0.0046668025,2.0611537e-09,0.0013716519,2.0611537e-09,1.0,2.0611537e-09,0.00993523,2.0611537e-09,0.99006474,82.45067,93.05646
46,noshrinky,4.01916495551,83353.484,0.11413348,4.1442721e-10,0.20106566,0.9646832,0.0052668112,2.0611537e-09,0.0037159324,2.0611537e-09,1.0,2.0611537e-09,0.002249986,2.0611537e-09,0.99775,99.55718,104.566376
47,noshrinky,4.08213552361,108758.625,0.14231256,7.857394e-12,0.0038121343,0.9654458,0.0053253723,2.0611537e-09,0.0026018918,2.0611537e-09,1.0,2.0611537e-09,0.007963479,2.0611537e-09,0.9920365,107.33952,113.37967
48,noshrinky,4.15058179329,93157.56,0.1271956,2.2596598e-10,0.10963082,0.9649295,0.004876724,2.0611537e-09,0.0058101118,2.0611537e-09,1.0,2.0611537e-09,0.00512293,2.0611537e-09,0.99487704,125.64047,90.234634
49,noshrinky,3.84120465435,86443.695,0.14230116,8.021773e-12,0.0038918853,0.95823693,0.006508255,2.0611537e-09,0.0027135313,2.0611537e-09,1.0,2.0611537e-09,0.007400781,2.0611537e-09,0.9925992,85.97287,113.246765
